Point;Polygon Nr;Longitude;Latitude;Name;Pr-Wert
Point 1;1;6,106032729;50,76884994;Neumarkt;1
Point 2;1;6,106241941;50,7681205;Neumarkt;1
Point 3;1;6,106815934;50,76819514;Neumarkt;1
Point 4;1;6,1065799;50,76892458;Neumarkt;1
Point 5;1;6,106032729;50,76884994;Neumarkt;1
Point 6;2;6,10234201;50,76832746;Frankenberger Park;2
Point 7;2;6,102873087;50,76763194;Frankenberger Park;2
Point 8;2;6,103135943;50,7676014;Frankenberger Park;2
Point 9;2;6,10311985;50,76745212;Frankenberger Park;2
Point 10;2;6,104117632;50,76743855;Frankenberger Park;2
Point 11;2;6,104262471;50,76774729;Frankenberger Park;2
Point 12;2;6,104112267;50,7677914;Frankenberger Park;2
Point 13;2;6,104101539;50,76857513;Frankenberger Park;2
Point 14;2;6,10234201;50,76832746;Frankenberger Park;2
Point 15;3;6,099472046;50,7669398;Boendgen;3
Point 16;3;6,098914146;50,76650551;Boendgen;3
Point 17;3;6,101810932;50,76582014;Boendgen;3
Point 18;3;6,102122068;50,76626801;Boendgen;3
Point 19;3;6,099472046;50,7669398;Boendgen;3
