Point;Polygon Nr;Longitude;Latitude;Name;Pr-Wert
1;1;7,11621;51,69787;Spot 1;300
2;1;7,11614;51,69788;Spot 1;300
3;1;7,11606;51,69794;Spot 1;300
4;1;7,11616;51,69792;Spot 1;300
5;1;7,11621;51,69787;Spot 1;300
6;2;7,11657;51,69721;Spot 2;300
7;2;7,11644;51,6972;Spot 2;300
8;2;7,11657;51,69708;Spot 2;300
9;2;7,11655;51,69711;Spot 2;300
10;2;7,11657;51,69721;Spot 2;300
11;3;7,11647;51,69634;Spot 3;300
12;3;7,11648;51,69609;Spot 3;300
13;3;7,11669;51,69608;Spot 3;300
14;3;7,11655;51,69629;Spot 3;300
15;3;7,11647;51,69634;Spot 3;300
